,text,conv_id,conv_title,conv_awry,no.,plutchik_emotion1,plutchik_emotion2,plutchik_emotion3,emowordnet_afraid_score,emowordnet_amused_score,emowordnet_angry_score,emowordnet_annoyed_score,emowordnet_dontcare_score,emowordnet_happy_score,emowordnet_inspired_score,emowordnet_sad_score
10,No worries. -,109823148.2068.2068,User talk:SpuriousQ,True,2,optimism,serenity,interest,0.1756913105,0.13082283150000001,0.1209531265,0.11699221600000001,0.10677068449999999,0.11026641400000001,0.12190609799999999,0.11659731899999999
11,"BTW I note that you are both 'a douchebag' as well as a 'moron' - have you considered standing for admin? This is a serious not a trolling or joke question. You've been registered since 5 June 2005 you have 5897 edits and you clearly deal with trolling and personal attacks calmly. You are a vandalism reverter, the tools could help you.",109823148.2068.2068,User talk:SpuriousQ,True,3,anger,annoyance,contempt,0.06453868139999999,0.08681490308571427,0.08781309717142856,0.08239117305714287,0.08199569314285715,0.06981920131428572,0.08907202554285713,0.06612665391428571
12,I must be reading the wrong text. Is Beland's Alternate Proposal being ignored? The text on the project page seems to suggest that the plan is that any editor logged in or not who considers that any statement is insufficiently sourced will be 'encouraged' to simply 'erase' it? That can't be the current plan. Or can it? There are some editors who do behave this way but they are not among the better sort. I can't believe the ten or so contributors here think that this is socially acceptable behavior and are ready to press it as 'policy'. Add a query in brackets [?] perhaps. Or put the unsourced statement in [wiki_link]. Or do what every sensible Wikipedian does: remove it to Discussion to be edited up to standard.,11331921.17573.17573,Wikipedia talk:Confirm queried sources,False,1,contempt,disgust,annoyance,0.07421083280597016,0.10249516053731345,0.09743127573134329,0.11562032208955224,0.09424123698507463,0.10707677353731347,0.11979555565671643,0.09509899191044778
13,I think you've misread the proposal as it already states that information that is disputed but if sourced would be suitable for the article should be put on the article's talk page,11331921.17573.17573,Wikipedia talk:Confirm queried sources,False,2,serenity,annoyance,serenity,0.10075969741176471,0.12553059488235294,0.12292541770588236,0.11481650023529412,0.10270644929411765,0.11785472535294117,0.11264987882352939,0.08510967770588235
14,That's reassuring. I thought it said 'If there is a fact or an opinion in a Wikipedia article and it has no source then anyone may remove the material from the article.' Imagine the mayhem such a policy would produce!,11331921.17573.17573,Wikipedia talk:Confirm queried sources,False,3,disgust,interest,acceptance,0.07388860938095239,0.09298035133333334,0.09069894452380953,0.09783902599999998,0.08913873742857142,0.09793306261904762,0.114482046,0.10494398447619048
15,Good evening ([wiki_link] time); I have reviewed this article on  [wiki_link] [wiki_link] ([wiki_link]) in accordance with the [wiki_link] (GA) [wiki_link]. There are seven main criteria that the article must comply with to pass: Well-written: Pass Factually accurate: Pass Broad: Pass Neutrally written: Pass Stable: Pass Well-referenced: Pass Images: Pass I have concluded that in my opinion the article has passed all categories and I therefore award it [wiki_link] status. Congratulations to the lead editors and keep up the excellent work! Kindest regards,115857386.6977.6977,Talk:Lexus,False,1,amazement,admiration,joy,0.06892319456140351,0.08892078010526316,0.07426046052631582,0.08709651380701752,0.0982835240350877,0.11846165836842104,0.13852777077192982,0.062368203052631584
16,On behalf of all the lead editors of this article thank you for your review and the GA status!!!,115857386.6977.6977,Talk:Lexus,False,2,love,joy,joy,0.06623885711111112,0.11243152855555556,0.1304287931111111,0.12731835355555557,0.11682656044444445,0.13542324955555557,0.11199289344444445,0.08822865311111111
17,The above review has been copied into the GA comments page linked via the GA related infobox at top.,115857386.6977.6977,Talk:Lexus,False,3,none,none,none,0.05733188775,0.09977481233333334,0.12674483383333335,0.12703989883333333,0.08937141725000002,0.112291812,0.07291672391666666,0.06452861441666666
18,We ought to change the web references to the [wiki_link] format. They currently seem to be in quite a mess at the moment.,119685468.7818.7808,Talk:Red Hot Chili Peppers,False,1,awe,interest,interest,0.07291916115384614,0.10536484100000001,0.06673922684615384,0.08676689730769233,0.09242630969230768,0.094754194,0.10411238846153845,0.06922467384615384
19,Half of the references are derived from Kiedis' 'Scar Tissue' where a citeweb format can not be used. However for the references which actually cite websites it is appropriate. I'll begin working on that shortly.,119685468.7818.7808,Talk:Red Hot Chili Peppers,False,2,acceptance,trust,acceptance,0.08079989095,0.10870900089999999,0.07740617035,0.08409526210000001,0.1178634932,0.09836428095000001,0.10535101015,0.07741089135
20,the Kiedis references could be fixed too. All that's really needed is the author's last name and page numbers. See [wiki_link] [wiki_link] and [wiki_link] for examples.,119685468.7818.7808,Talk:Red Hot Chili Peppers,False,3,none,acceptance,none,0.07097805647058823,0.09186027599999999,0.06814430311764708,0.09161430458823529,0.08842407388235293,0.07814271852941176,0.08659878117647059,0.07129630982352943
21,If you have problems with my edits to the 4WD page please let me know do not just revert the edits. Although the 4WD article is very accurate the introduction is riddled with errors which I corrected. I think it is everyone's best interests to make Wiki pages as accurate as possible and the Four Wheel Drive article is not a gleaming example of this. i.e. All-wheel drive is just a marketing term invented to sell primarily on-road 4WD-type cars This is completely inaccurate AWD is no JUST a marketing term. AWD is very different from 4WD and I explained the differences in my edits. There are also blatant contradictions in this introduction as well. So please instead of immediately reverting my edits tell me what your disagreement is. If you feel that my edit was inaccurate the please let me know why so this can be resolved. Thank You,127296808.516.516,User talk:Billzilla,False,1,interest,anticipation,none,0.06841278626190476,0.11412638035714288,0.07892910633333335,0.09317778386904765,0.10316896898809527,0.10644226309523809,0.1177197076904762,0.06802300346428572
22,Shrug It is just a marketing term. I wish you lot would stop editing it otherwise. Billzilla.,127296808.516.516,User talk:Billzilla,False,2,surprise,disapproval,disapproval,0.071711203,0.10119298733333333,0.11908146533333334,0.09604046316666666,0.14018091716666667,0.11706007816666668,0.11953140883333331,0.06853481041666666
23,Although AWD can be considered a form of 4WD it is not the same drive train type as Part-Time 4WD. So I would have to say calling it just a marketing term is a narrow minded and inaccurate statement. Even though they are similar you can't just lob them into the same group. If as you say AWD is just a marketing term then taking a turn in a Audi A6 Quattro would produce wheel hop just as taking a turn in a Ford F-250 4x4 with 4WD engaged which is not the case. So apparently there is a difference which would be the center differential in the Audi A6 allowing each wheel to receive a variable amount of power. Which is not true of 4WD vehicles because a transfer case unless a Full-Time 4WD transfer case will force all wheels to receive 25% of the engine's power.,127296808.516.516,User talk:Billzilla,False,3,interest,none,none,0.08151301990123458,0.10446245996296298,0.08947482546913582,0.08660590258024692,0.07939502151851852,0.0961164168765432,0.097826999691358,0.08065473674074074
24,this wikipedia is not your fan page. :: and are you japanese?,128593760.5542.5542,Talk:Lexus,True,1,aggresiveness,contempt,contempt,0.0761763095,0.11969555175,0.0629535625,0.08384151075,0.14363580775,0.1072442165,0.08017996299999999,0.07627307950000001
25,"The goal of this article is not to promote Japanese culture, references of Japan are made when they are directly relevant to the history of Lexus. You may notice in the above talk section that I have personally removed statements which seem nationalistic. Furthermore it appears based on your contributions records that is the same as and has used the URL all focusing on topics related to Korea. Based on the history of this user there appears to be a troubling record of disruptions racism and unwanted editing behavior which does not comform to acceptable Wikipedia standards. Interestingly these warnings have been removed from the current talk page in possible violation of wikipedia rules. It is also possible that this user is responsible for the earlier vandalism to the Lexus article which also was focused on nationalistic grounds. I hope that this record will change but doing vandalism followed by multiple changes under several disallowed pseudonyms is not helpful. Please reconsider your actions and consider this a friendly notice.",128593760.5542.5542,Talk:Lexus,True,2,surprise,disapproval,none,0.10639951101098902,0.11394891360439559,0.11169534805494509,0.1074853597032967,0.10934648345054945,0.10785706198901099,0.10364942897802203,0.09676075029670325
26,we do not need personal attack japanese. calm down. japanese. are you stalker? first we do not need your garbage article. if you want lexus page then you make another lexus fan homepage ok? japanese?,128593760.5542.5542,Talk:Lexus,True,3,aggresiveness,anger,contempt,0.10477131290476192,0.1192870156190476,0.09578563595238096,0.10252259976190475,0.11993034423809525,0.09976250504761905,0.10671374904761906,0.10836969509523806
27,All you guys chasing each other around in an edit war sometimes just to piss on the other guy creating puppets endless reverts pointless name-calling...etc. Stop! Go somewhere else. Go to a TaiwanChina discussion forum on the internet or take it outside. I don't want to see it here anymore. Wikipedia does not have a Wiki-kids encyclopedia yet so until then don't contribute. You guys chase each other all over wikipedia looking for a fight and then get all primed for conflict so when a guy like me comes along to add quality information from quality sources I have to put up with a bunch of impulsive angry POV people who because of conflict with someone I don't even know or care to know can't/won't cooperate. I am really beginning to think you all enjoy the fighting and perpetuate it. Would someone please take the high road? This page has the potential to be a really great really useful really informative page...but that is not going to happen if you keep fighting. I am willing to put in the effort and make this happen and I want everyone to have a part in it but this page will continue to be a nothing-waste-of-time for you and for me if you keep it up. How long have you spent getting nowhere on this? Could you use this time better? I am looking to cooperate with people who can operate in good faith and are not looking to push any POV. I have a good background in this field and could lend a hand for good NPOV articles. I could be a good ally down the road for future cooperation but I do not want to work in such a negative environment with suspicion over every edit. Again Stop and breathe.....,128818551.16567.16567,Talk:Culture of Taiwan,False,1,anger,annoyance,disapproval,0.07522233456172837,0.12324912296913576,0.08821226498765437,0.11015006904320987,0.11290424004320981,0.11708784514814806,0.13327147716666657,0.0855816584691358
28,Agreed. Neither of you are adding anything substantive and are clearly not taking the advice or counsel of the ArbCom to heart.,128818551.16567.16567,Talk:Culture of Taiwan,False,2,anger,acceptance,contempt,0.0724727640909091,0.10178005827272728,0.09564215118181818,0.11009066063636362,0.09285854918181817,0.10085143945454544,0.09305649818181819,0.06052060618181818
29,Strongly agree. I really like all the information Maowang put up there. Why don't we just let him work on this article? He seems to know more about this topic than all of us.,128818551.16567.16567,Talk:Culture of Taiwan,False,3,love,acceptance,admiration,0.09828842547058825,0.13950768164705882,0.0989602893529412,0.10544540329411764,0.1288474731764706,0.12859196223529412,0.15289469141176473,0.08864054423529412
30,bogdan if you registered yourself as 'orthodox' in the census then you are an orthdox (not atheist) for the sake of this page. We are talking about offcial figures here not your original research. How do you know that there are 'many' people in your alleged situation? How do we know that you did indeed declare yourself orthodox? Please leave original research and personal feelings aside when contributing here. As for the statistics you provide about church attendance they come from an obscure poll conducted by an NGO while the way people define themselves comes from the official census. Most foreigners visiting Romania notice the high church attendance rate (churches are packed and so on). Should the NGO's opinion deserve much space in the article? I believe not.,135048926.41980.41980,Talk:Romanians,False,1,aggresiveness,annoyance,aggresiveness,0.0874186696231884,0.11483512472463768,0.1157185983478261,0.11294257060869564,0.10852542936231888,0.11059285978260869,0.11611726331884058,0.08892194814492756
31,According to the 2002 census there are no less than 23105 atheist people in Romania so we are not talking about '1 family' here. This should evidently be included. Additionally rates of church attendance and 'actual belief' should also be included aside from census data since this gives a more complex insight into religion in Romania. The OSF survey that was previously cited is not from an 'obscure NGO' but rather the [wiki_link]. This poll is not challenging the census results in any way because it records an entirely different thing. The census records 'self-identified religion' while the OSF survey records 'church attendance'. You can still declare a certain religion in the census and even believe it but not go to church. They are two different things and thus not in contradiction with one another.,135048926.41980.41980,Talk:Romanians,False,2,annoyance,disapproval,submission,0.08818235930769232,0.11307984414102563,0.10030197276923078,0.09473630153846148,0.10300223316666667,0.09628223938461536,0.10927765702564105,0.07718867467948717
32,[external_link] there are 9271 self-declared atheists and a further 13834 'without religion'. Those are fairly irrelevant numbers and it's hardly 'evident' that they should be included but they do make a lot of noise so I suppose that gains them inclusion.,135048926.41980.41980,Talk:Romanians,False,3,contempt,none,contempt,0.053490685333333336,0.08847787228571428,0.07016984842857144,0.09061658290476192,0.087427891,0.07334328409523809,0.09689820133333334,0.05862325352380952
33,A while back someone (I don't remember who) added a sub category of Parodies under the heading of See Also and put a link to a South Park episode which apparently did a well parody of the Terri Schiavo case. So far as I recall there was no discussion whatsoever about its addition. Does anyone have a problem with that being in the article?,13760425.74698.74698,Talk:Terri Schiavo case,False,1,interest,anticipation,interest,0.09011819388235295,0.12084186820588239,0.10607994538235295,0.11290033888235294,0.10055747749999998,0.10603498544117648,0.09886630855882354,0.08813029402941179
34,I don't but let's remember that 'real people' who had key involvement in the case ('I did better than the Gov') take precedence over cartoons! I'm not just speaking for myself but I think I'm a person. (Parody OK? - not bad but let's keep our priorities straight.),13760425.74698.74698,Talk:Terri Schiavo case,False,2,none,annoyance,acceptance,0.0746046722962963,0.14098095777777778,0.09786477270370371,0.10310637396296299,0.12079889474074074,0.11568697725925928,0.14053573500000002,0.09531050544444443
35,I don't have a problem with parody.,13760425.74698.74698,Talk:Terri Schiavo case,False,3,boredom,acceptance,acceptance,0.06510144933333332,0.3186611426666667,0.08928185100000001,0.13935787133333333,0.11513103333333334,0.08382538433333335,0.11961527999999999,0.06902598833333333
36,This is my personal request to any wikipedian reading this: Revert any edit by Gordon Watts on sightin bulk in totality. I agree with the assessment a ways up: Gordo has become a menace. Thank you for your time.,13768808.75261.75261,Talk:Terri Schiavo case,True,1,none,optimism,vigilance,0.06674426,0.10327441314285715,0.09021177495238095,0.09690304380952382,0.11368612576190476,0.10411389895238095,0.11275427509523811,0.07421697038095239
37,Agreed. He's either crazy or he's playing an elaborate prank/hoax on us. In either case he's long since exhausted our capacity for humoring him.,13768808.75261.75261,Talk:Terri Schiavo case,True,2,annoyance,boredom,disgust,0.09474730687499999,0.1407852610625,0.07776879025,0.10832957631249998,0.1316544765,0.11944476424999997,0.10742318281250002,0.0948466418125
38,I 'resemble' that comment. If you don't believe I am telling the truth in my involvement call up the Gibbs Law firm or the Terri Schindler foundation and ask them. Or if you have proof I'm lying let's hear it. Other than that no more left-handed compliments.,13768808.75261.75261,Talk:Terri Schiavo case,True,3,anger,aggresiveness,annoyance,0.07256628753846155,0.1380969968461538,0.10245863488461536,0.11190741184615384,0.10947375926923074,0.10293881823076921,0.13031076930769234,0.07840116846153845
39,Actually for the court involvement a simple docket search suffices  and case no. SC03-2420.,13768808.75261.75261,Talk:Terri Schiavo case,True,4,none,optimism,none,0.078377755,0.09313470022222223,0.13957973755555556,0.12559740044444442,0.10151017244444445,0.11624397222222221,0.13760201622222226,0.09684313522222222
40,But that doesn't prove notability.,13768808.75261.75261,Talk:Terri Schiavo case,True,5,aggresiveness,disgust,none,0.164743928,0.12041949966666665,0.1822366023333333,0.14681604766666667,0.08988238066666666,0.11725266166666666,0.09115687466666667,0.08749200566666666
41,'left-handed compliments'? You're an idiot running amuck with a keyboard tearing through an article that a lot of us have worked long hours to make the best. You've yet to list any specific complaints other than that your vanity links should be in the article and that your involvment in the case deserves star treatment. You're a Don Quixote a meglomaniac with delusions of grandeur and a self image as a knight in shining armor unwilling or unable to notice that you're behaviour is more like a drunken bum staggering through the streets leaning on the shoulders of complete strangers telling them your theories of life while blowing beer breath in their faces. Your posts are like someone who suddenly loosens their tongue when they get drunk but then through their alcohol haze they fail to have a point often repeat something they said two minutes ago and insist that everyone listen to them. You seriously need to find some self-worth. enlist in the army. You'll get your ass kicked and will be the better for it.,13768808.75261.75261,Talk:Terri Schiavo case,True,6,aggresiveness,aggresiveness,loathing,0.07367446505999997,0.11602781327000003,0.08793124518000002,0.07700590954000003,0.10513478423999997,0.10441849779,0.12604813190999997,0.08975915306999999
42,has been identified as an 'Awesome Wikipedian' and therefore I've officially declared today as ! For being such a beautiful person and great Wikipedian enjoy being the Star of the day dear Bishzilla! Love - A record of your Day will always be kept .,138086818.8230.8230,User talk:Bishzilla,False,1,optimism,admiration,joy,0.07034850383999998,0.10502092472000003,0.07878586143999998,0.08276710207999999,0.11341217440000002,0.09727022572,0.12354514388000001,0.08885006388000001
43,Oh that's fabulous! Love the poem. Congrats 'Zilla dear.,138086818.8230.8230,User talk:Bishzilla,False,2,admiration,admiration,admiration,0.03718826957142857,0.13438484214285715,0.03371011414285714,0.05357761485714285,0.08472847371428571,0.08718083628571428,0.21814220457142858,0.06537335914285715
44,'Zilla always graciously approve well-deserved accolades! Have thanked little Phaedriel on her page. Approve little puppy too! [zilla absent-mindedly smells puppy. Hmm. Longingly:' ] Gouhuahuash... mmmmm... wild rice...  ' .,138086818.8230.8230,User talk:Bishzilla,False,3,optimism,none,love,0.045730390888888896,0.0864471824074074,0.04619902281481481,0.04761800996296296,0.07865624155555555,0.07010225762962963,0.07950393425925927,0.06426147907407408
45,I'm confused by your comment [external_link]. Is this a joke or what?,143548887.1630.1630,User talk:Trey,False,1,anger,apprehension,pensiveness,0.04195821633333333,0.12306552033333333,0.08377506266666666,0.11232959216666667,0.09686509616666666,0.06635459483333334,0.08864952183333334,0.05366906216666666
46,No. On IRC majorly was all 'VOTE SUPPORT FOR COMETSTYLES RFA! for like 10 minutes,143548887.1630.1630,User talk:Trey,False,2,disgust,none,contempt,0.04219101825,0.06506292925,0.05089566725,0.06571786091666666,0.07230678233333333,0.06780848725000001,0.064150712,0.07186654283333334
47,Oh yah? Hmm I'd expect an experienced editor would know better. Of course maybe expectations are different over there. Still I can't see how such canvassing could be a 'good' thing.,143548887.1630.1630,User talk:Trey,False,3,annoyance,anticipation,contempt,0.05268230879166667,0.1019834170833333,0.07226173091666667,0.08592521029166666,0.08982496350000001,0.09126448866666666,0.10858675820833336,0.06413778929166666
48,Its not a good thing. But I know cometstyles and he outweighs majorlys faults.,143548887.1630.1630,User talk:Trey,False,4,annoyance,pensiveness,acceptance,0.0638576335,0.1157158581,0.0933707971,0.08903046839999999,0.08517896759999999,0.0812823792,0.0949408596,0.07662303649999999
49,Just passing by and I wondered if I could be enlightened of my faults. It's generally not nice to discuss users like this behind their backs by the way. Cheers.,143548887.1630.1630,User talk:Trey,False,5,loathing,awe,serenity,0.065476694,0.1534725786666667,0.073966296,0.09705055972222223,0.10099691633333333,0.13363987111111109,0.13460743738888892,0.07412297983333332
50,No one is talking about you behind their backs. We were just talking about the 'VOTE SUPPORT FOR COMETSTYLES RFA!,143548887.1630.1630,User talk:Trey,False,6,surprise,awe,serenity,0.053084884500000006,0.11868561975000001,0.05948878916666667,0.0663564385,0.06251914166666667,0.102064006,0.061636653916666666,0.05949779991666667
51,The irony of Rambutan's actions is that I do not know of a single case where he did not revert to the best available version. He has been a vigilent defender of the Doctor Who articles. The problem is that he has been too vigilent. The edit in question was a small revert and a correct one. But it was still one of four in 24 hours from someone who should know better.,144384425.3276.3276,User talk:Kelpin,False,1,none,annoyance,trust,0.08532854086486487,0.11717839370270271,0.10434704610810812,0.09570166767567567,0.11465854354054052,0.11658858421621625,0.1388340507567567,0.09222803832432433
52,Then do you want him to leave the article full of OR and other c***?,144384425.3276.3276,User talk:Kelpin,False,2,rage,anger,distraction,0.07609233271428573,0.09517260614285714,0.12699828814285716,0.12296722571428573,0.12192512214285714,0.10628625657142855,0.11395942114285715,0.09374160442857142
53,Kelpin: he was replying to the message above. He just did it here so it appeared coherent. Thanks for requesting my unblocking! Thanks for your [wiki_link] offer; I'll bear it in mind!!,144384425.3276.3276,User talk:Kelpin,False,3,serenity,acceptance,optimism,0.071370136375,0.13230043074999998,0.0801984805,0.09512042468750001,0.14381142825,0.11302975043749998,0.10060193625000001,0.07606741312500001
54,Firstly I'm not one of the 'gang' nor is AreJay or anyone here as Grace seems to put it. Secondly the 'neutral' view itself is not really well educated nor do they properly read the threads or history of the pages concerned. The neutral sources and some biased views are already given in the said articles. Yet Grace is asking that this user and his sockpuppets come to the talk page and show his sources. I wonder why a vandal would frequent a talk page? I don't see him coming and if anyone believes he is going to discuss this openly is naive. Secondly the problem isn't only to this article but ALL articles related to the India pakistan wars. Incase these neutrals don't have time to read or understand here's the lowdown: [wiki_link] keeps deleting the info on the bengali atrocities [wiki_link] just read it dammit. [wiki_link] more vandalism [wiki_link] copyvio images and copyvio text from biased sources [wiki_link] blatant copyvio images and jingoistic text [wiki_link] minor changes to suit his POV. Incase it has not been noticed he has a pattern of simply reverting to his previous version without engaging in discussion like we are doing here. So the fact is while we talk about this and try to resolve he jolly well seems to care less for Wikipedia or its neutral stance and simply reverts to his POV. In those articles too users like myself and other different users have reverted it to the non-chauvinistic versions time & again. is asking for this vandal to come to the talk page and discuss the 1971 war which the miscreant refuses to do. Yet nothing is being done about it or his blatant cut and copy of text from the net. If anyone still has any lingering doubts then search by selecting the sentences used to describe his photos on google and u will get an exact match down to the last punctuation error. To avoid such future disputes I suggest that people should have a user account incase they want to break the 3 revert rule. that way it would be easier to block the user. Even now one of his sockpuppets Napoleon12 can be blocked.,14969685.9097.9097,Talk:Indo-Pakistani War of 1965,True,1,pensiveness,annoyance,contempt,0.08156346924999999,0.107718057665,0.09846666739999999,0.10678629813999997,0.11116664057499995,0.10574219239000007,0.10594202135499994,0.08761465335999995
55,I happily agree with Grace Note and I shall back my sources up with fact. I am currently happy with the unbiased point of view of this article. I might have to do more research in the Self-Defence wars of Pakistan and it may take me a few days.,14969685.9097.9097,Talk:Indo-Pakistani War of 1965,True,2,boredom,joy,optimism,0.09984531269230769,0.13234293534615385,0.11598008423076925,0.12875862342307692,0.13064256003846156,0.11721175296153849,0.14527591415384616,0.09148127880769232
56,Are you the sockpuppet vandal who keeps reverting back to ur own biased statements which themselves are lifted directly from www.pakdef.info without even changing the copyrights tag? lol. don't u worry cuz u are quite close to getting banned. you should be ashamed if you are cuz u r involved in POV copyright violation of images and entire articles shamelessly.,14969685.9097.9097,Talk:Indo-Pakistani War of 1965,True,3,loathing,aggresiveness,contempt,0.09601225818421052,0.11383550878947371,0.09468271736842106,0.0975241582631579,0.10681615747368423,0.11048070331578949,0.08825509113157894,0.08186708971052632
57,sorry for a non-article question but do any of you know how to contact Sakurai? Email? Letter? Psychic hotline? ( ) Try a [wiki_link] - I've tried that it didn't work. I've also tried screaming really hard so he could hear me...didn't work. Ah well...woe is me. I wanted to talk with this genius called Sakruai.,152213422.465.0,Talk:Masahiro Sakurai,False,1,interest,sadness,anticipation,0.06347789686486487,0.11483735789189188,0.0695296199189189,0.08990708367567567,0.08741362545945947,0.0881699238918919,0.11711293324324326,0.07225426186486487
58,Ouija boards are bogus. Don't use them. Besides why would you want to talk to him?,152213422.465.0,Talk:Masahiro Sakurai,False,2,disgust,disapproval,aggresiveness,0.05108086255555555,0.11214561711111111,0.09310931033333335,0.11632602311111111,0.11552956255555556,0.10021845644444444,0.12013149977777776,0.06923644600000001
59,Why WOULDN'T you want to talk with Sakurai?,152213422.465.0,Talk:Masahiro Sakurai,False,3,anticipation,admiration,anger,0.06400691316666667,0.051410543333333336,0.039152404,0.047582370166666665,0.05414148500000001,0.08576587383333334,0.13041460516666667,0.027525805166666667
60,Why are you removing the tags from the Hardy Boys book articles? They are clearly stubs.  18:25 2005 Jun 19 (UTC),15454148.108.108,User talk:Fwdixon,False,1,disapproval,interest,apprehension,0.08486472473333334,0.0779128608,0.057388892266666665,0.054868565200000004,0.0963143268,0.10351827753333334,0.09043349686666668,0.10136552246666666
61,There were no book stub tags since I just created all those articles today.,15454148.108.108,User talk:Fwdixon,False,2,none,none,serenity,0.05916619955555555,0.13196883,0.06293983888888889,0.081153521,0.13494092144444444,0.14925738533333333,0.197851928,0.07161026477777778
62,*I added lit-stub to those pages.,15454148.108.108,User talk:Fwdixon,False,3,disapproval,none,distraction,0.027701461,0.09094881275,0.045104181,0.0677106445,0.07996280824999999,0.09585505550000001,0.056241532999999996,0.03647550475
